id,cd_estabelecimento_saude,nome_estabelecimento_saude,cnes,numero_uge_cnpj,desc_uge_cnpj,ambito,codigoibge,municipio,rras,regiao_de_saude,codigo_drs,desc_drs,tipo_gerenciamento,tipo_estabelecimento,fluxo_clientela,porte,empenhado,liquidado,pago,internacoes,dias_permanencia,media_permanencia,obitos,taxa_mortalidade,diarias_uti,producao_ambulatorial_antedimentos_consultas_exames,procedimentos_ambulatoriais_grupo_acoes_promocao_prevencao_saud,procedimentos_ambulatoriais_finalidade_diagnostica,procedimentos_clinicos_ambulatoriais_consultas_atendimentos_tra,procedimentos_cirurgicos_ambulatoriais,procedimentos_ambulatoriais_grupo_transplante_orgaos_tecidos_ce,procedimentos_ambulatoriais_grupo_medicamentos,procedimentos_ambulatoriais_grupo_orteses_proteses_materiais_es,outros_procedimentos_ambulatoriais,leitos_cirurgicos,leitos_clinicos,leitos_complementares,leitos_obstetricos,leitos_pediatricos,leitos_outras_especialidades,hospital_dia,tomografo_computadorizado,ressonancia_magnetica,ultrassom_droppler_colorido,ultrassom_ecografo,ultrassom_convencional,raio_x_hemodinamica,medicos_cpf_unico,medicos,latitude,longitude,periodo_referencia_inicio,periodo_referencia_fim,periodo_referencia_texto,nome_fantasia,municipio_ibge
"1,484.00",134163,HOSPITAL DE CAMPANHA COVID 19 JACAREI,"134,163.00",,,Municipal,"3,524,402.00",JACAREÍ,RRAS17,ALTO VALE DO PARAÍBA,,DRS 17 - TAUBATE,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,N/A,,,,962.00,"4,871.00",5.10,30.00,3.12,0.00,"219,795.00",0.00,"35,322.00","184,473.00",0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,"-23,3002429","-45,9794153",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DE CAMPANHA COVID 19 JACAREI,Jacareí
"1,213.00",2812703,FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP,"2,812,703.00",,,Estadual,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL ESPECIALIZADO,Atendimento de demanda espontânea e referenciada,Médio,,,,525.00,"21,735.00",41.40,,,0.00,"32,457.00",0.00,0.00,"32,457.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,45.00,0.00,1.00,0.00,1.00,1.00,0.00,,240.00,"-23,55406","-46,67105",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP,São Paulo
"1,214.00",2078015,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,"2,078,015.00",,,Estadual,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,Administração,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Especial,"1,995,681,287.97","1,995,681,287.97","1,832,339,200.00","42,373.00","322,511.00",7.60,"2,327.00",5.49,"78,993.00","7,011,911.00","1,444.00","5,061,534.00","1,806,079.00","95,655.00","31,230.00",0.00,"15,969.00",0.00,542.00,358.00,389.00,46.00,100.00,170.00,88.00,8.00,6.00,59.00,13.00,46.00,2.00,,"5,895.00","-23,55735","-46,66982",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,São Paulo
"1,215.00",2071568,HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,"2,071,568.00",,,Estadual,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,,HOSPITAL ESPECIALIZADO,Atendimento de demanda espontânea e referenciada,Grande,,,,"10,716.00","102,205.00",9.50,725.00,6.77,"43,419.00","1,646,293.00",0.00,"1,401,494.00","205,395.00","1,269.00","38,134.00",0.00,1.00,0.00,178.00,87.00,185.00,0.00,34.00,1.00,0.00,3.00,2.00,8.00,40.00,2.00,7.00,,"1,695.00","-23,55753","-46,66732",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO,São Paulo
"1,216.00",2088495,INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO,"2,088,495.00",,,Estadual,"3,550,308.00",SÃO PAULO,RRAS06,SÃO PAULO,,DRS 1 - GRANDE SÃO PAULO,Administração,HOSPITAL ESPECIALIZADO,Atendimento de demanda espontânea e referenciada,Grande,"122,633,099.69","122,633,099.69","109,201,746.44","8,954.00","74,128.00",8.30,683.00,7.63,"20,292.00","1,457,047.00","1,659.00","1,205,240.00","248,088.00",708.00,"1,352.00",0.00,0.00,0.00,112.00,154.00,85.00,0.00,24.00,0.00,9.00,1.00,1.00,19.00,36.00,3.00,7.00,,842.00,"-23,58622","-46,65278",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO,São Paulo
"1,217.00",2748223,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,"2,748,223.00",,,Estadual,"3,507,506.00",BOTUCATU,RRAS09,POLO CUESTA,,DRS 6 - BAURU,Administração,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,"292,757,294.76","292,757,294.76","265,131,621.42","23,088.00","140,947.00",6.10,"1,673.00",7.25,"25,433.00","3,209,268.00","1,518.00","2,323,901.00","853,591.00","7,796.00","20,567.00",0.00,"1,895.00",0.00,161.00,164.00,106.00,31.00,63.00,3.00,34.00,3.00,1.00,13.00,10.00,2.00,4.00,,"1,335.00","-22,89737","-48,49129",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU,Botucatu
"1,219.00",3126838,HOSPITAL REGIONAL DO VALE DO PARAIBA,"3,126,838.00",,,Estadual,"3,554,102.00",TAUBATÉ,RRAS17,V. PARAÍBA-REG. SERRANA,,DRS 17 - TAUBATE,Terceiros,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,"132,837,998.07","132,837,998.07","132,837,998.07","9,592.00","49,158.00",5.10,884.00,9.22,"11,114.00","684,245.00",0.00,"423,604.00","242,923.00","17,329.00",0.00,0.00,389.00,0.00,133.00,48.00,49.00,0.00,12.00,0.00,0.00,1.00,0.00,2.00,0.00,4.00,1.00,,747.00,"-23,02929","-45,56637",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL REGIONAL DO VALE DO PARAIBA,Taubaté
"1,220.00",2025507,HOSPITAL DAS CLINICAS HCFAMEMA,"2,025,507.00",,,Estadual,"3,529,005.00",MARÍLIA,RRAS10,MARÍLIA,,DRS 9 - MARILIA,Administração,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Grande,"61,078,964.17","61,078,964.17","52,948,265.81","12,086.00","82,219.00",6.80,"1,166.00",9.65,"17,136.00","1,139,152.00",0.00,"844,074.00","274,572.00","17,317.00","1,179.00",0.00,"2,010.00",0.00,95.00,104.00,106.00,28.00,40.00,15.00,0.00,2.00,1.00,7.00,3.00,0.00,1.00,,548.00,"-22,228","-49,93568",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DAS CLINICAS HCFAMEMA,Marília
"1,221.00",2082187,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,"2,082,187.00",,,Estadual,"3,543,402.00",RIBEIRÃO PRETO,RRAS13,AQUÍFERO GUARANI,,DRS 13 - RIBEIRÃO PRETO,Administração,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Especial,"581,695,171.85","581,695,171.85","528,956,304.37","33,913.00","185,772.00",5.50,"1,545.00",4.56,"39,788.00","2,325,591.00","8,856.00","1,778,051.00","507,728.00","17,916.00","6,296.00",0.00,"6,744.00",0.00,270.00,231.00,202.00,30.00,73.00,60.00,50.00,3.00,3.00,33.00,10.00,0.00,4.00,,"1,906.00","-21,16327","-47,85192",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO,Ribeirão Preto
"1,222.00",2077566,HOSPITAL MUNICIPAL DA MULHER DR JOAO LUIS J ROSSETO,"2,077,566.00",,,Municipal,"3,502,804.00",ARAÇATUBA,RRAS12,CENTRAL DO DRS II,,DRS 2 - ARACATUBA,,HOSPITAL GERAL,Atendimento de demanda espontânea e referenciada,Pequeno,,,,167.00,846.00,5.10,1.00,0.60,0.00,"32,861.00",838.00,"7,116.00","24,902.00",5.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,,1.00,"-21,19285","-50,4305",1/1/2021 0:00,12/31/2021 0:00,2021- Janeiro a Dezembro,HOSPITAL MUNICIPAL DA MULHER DR JOAO LUIS J ROSSETO,Araçatuba
