NOME;LATITUDE;LONGITUDE;AREA PROPRIEDADE;AREA TELHADO;LINKS OSM;LINKS MAPS
HOSPITAL MUNICIPAL JOSANIAS CASTANHA BRAGA;-23,8232741;-46,7263557;101780,58910762743;15603,396308587857;https://www.openstreetmap.org/#map=19/-23.8232741/-46.7263557;https://www.google.com.br/maps/@/-23.8232741,-46.7263557,18z
HOSPITAL MUNICIPAL FERNANDO MAURO PIRES DA ROCHA;-23,6485923;-46,7489713;14922,799029633248;8180,0003955293105;https://www.openstreetmap.org/#map=19/-23.6485923/-46.7489713;https://www.google.com.br/maps/@/-23.6485923,-46.7489713,18z
HOSPITAL MUNICIPAL DR ALCIPIO DA SILVA OLIVEIRA JUNIOR;-23,2121398;-46,8308006;1574,0342526113363;None;https://www.openstreetmap.org/#map=19/-23.2121398/-46.8308006;https://www.google.com.br/maps/@/-23.2121398,-46.8308006,18z
HOSPITAL UNIVERST DA UFSCAR PROF DR HORACIO C PANEPUCCI;-21,9920736;-47,8871436;37045,9563659664;15420,07612923922;https://www.openstreetmap.org/#map=19/-21.9920736/-47.8871436;https://www.google.com.br/maps/@/-21.9920736,-47.8871436,18z
HOSP DO SERV PUB MUNICIPAL HSPM;-23,5671603;-46,6390803;17114,519435936378;5459,567712527083;https://www.openstreetmap.org/#map=19/-23.5671603/-46.6390803;https://www.google.com.br/maps/@/-23.5671603,-46.6390803,18z
HOSPITAL MUNICIPAL LEONARDUS VAN MELLIS;-23,3872554;-48,726758;962,5300197535263;None;https://www.openstreetmap.org/#map=19/-23.3872554/-48.726758;https://www.google.com.br/maps/@/-23.3872554,-48.726758,18z
HOSPITAL MUNICIPAL VER JOSE STOROPOLLI;-23,5222301;-46,5633428;24373,596927397644;8758,581390439831;https://www.openstreetmap.org/#map=19/-23.5222301/-46.5633428;https://www.google.com.br/maps/@/-23.5222301,-46.5633428,18z
HOSPITAL MUNICIPAL GOV MARIO COVAS JR;-23,8232253;-45,3785929;2984,9016917144068;None;https://www.openstreetmap.org/#map=19/-23.8232253/-45.3785929;https://www.google.com.br/maps/@/-23.8232253,-45.3785929,18z
HOSPITAL JOAO VELLOSO;-20,004784;-50,3708093;4125,633117612288;None;https://www.openstreetmap.org/#map=19/-20.004784/-50.3708093;https://www.google.com.br/maps/@/-20.004784,-50.3708093,18z
HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;-22,741778;-47,3086022;10917,792413675315;10917,792413675315;https://www.openstreetmap.org/#map=19/-22.741778/-47.3086022;https://www.google.com.br/maps/@/-22.741778,-47.3086022,18z
UNIDADE MISTA E MATERNIDADE CENTRAL;-23,6488782;-46,8474597;1731,8481403147748;1731,8481403147748;https://www.openstreetmap.org/#map=19/-23.6488782/-46.8474597;https://www.google.com.br/maps/@/-23.6488782,-46.8474597,18z
HOSPITAL REGIONAL DE REGISTRO REGISTRO;-24,5299547;-47,8557355;None;4487,4067458714735;https://www.openstreetmap.org/#map=19/-24.5299547/-47.8557355;https://www.google.com.br/maps/@/-24.5299547,-47.8557355,18z
HOSPITAL MUNICIPAL UNIVERSITARIO DE SÃO BERNARDO DO CAMPO;-23,6545388;-46,5732095;1382,1267503239312;None;https://www.openstreetmap.org/#map=19/-23.6545388/-46.5732095;https://www.google.com.br/maps/@/-23.6545388,-46.5732095,18z
HOSPITAL ESTADUAL PORTO PRIMAVERA ROSANA;-22,5299123;-52,9497358;42577,85770295202;None;https://www.openstreetmap.org/#map=19/-22.5299123/-52.9497358;https://www.google.com.br/maps/@/-22.5299123,-52.9497358,18z
HOSPITAL E MATERNIDADE PUBLICO DE DOURADO;-22,1183827;-48,3190069;2215,1456177459263;None;https://www.openstreetmap.org/#map=19/-22.1183827/-48.3190069;https://www.google.com.br/maps/@/-22.1183827,-48.3190069,18z
HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;-23,1803902;-45,8539669;5980,979878113765;5980,979878113765;https://www.openstreetmap.org/#map=19/-23.1803902/-45.8539669;https://www.google.com.br/maps/@/-23.1803902,-45.8539669,18z
HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;-23,7291384;-46,6907081;5815,056509044657;None;https://www.openstreetmap.org/#map=19/-23.7291384/-46.6907081;https://www.google.com.br/maps/@/-23.7291384,-46.6907081,18z
HOSPITAL MUNICIPAL DR BENEDICTO MONTENEGRO;-23,5881481;-46,5144633;16038,436762882275;None;https://www.openstreetmap.org/#map=19/-23.5881481/-46.5144633;https://www.google.com.br/maps/@/-23.5881481,-46.5144633,18z
HOSPITAL DAS CLINICAS DE BAURU HCB;-22,3332858;-49,058376;137081,91747609698;33965,18580337604;https://www.openstreetmap.org/#map=19/-22.3332858/-49.058376;https://www.google.com.br/maps/@/-22.3332858,-49.058376,18z
HOSPITAL CLINICO MUNICIPAL CECILIA DE LOURDES O FONSECA;-22,0633867;-46,9812928;None;3386,749124860324;https://www.openstreetmap.org/#map=19/-22.0633867/-46.9812928;https://www.google.com.br/maps/@/-22.0633867,-46.9812928,18z
HOSPITAL MUNICIPAL INTEGRADO SANTO AMARO;-23,6496783;-46,7043292;781,6022062119928;None;https://www.openstreetmap.org/#map=19/-23.6496783/-46.7043292;https://www.google.com.br/maps/@/-23.6496783,-46.7043292,18z
