NOME;LATITUDE;LONGITUDE;CIDADE;AREA PROPRIEDADE;                            AREA TELHADO;LINKS OSM;LINKS MAPS
FUNDACAO FACULDADE DE MEDICINAHCFMUSP INST DE PSIQUIATRIA SP;-23,5592549;-46,6707916;São Paulo;                              296838,3795251025;55324,16123869267;https://www.openstreetmap.org/#map=19/-23.5592549/-46.6707916;https://www.google.com.br/maps/@-23.5592549,-46.6707916,18z
HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;-23,5577989;-46,6698598;São Paulo;                              296838,3795251025;92251,98994629536;https://www.openstreetmap.org/#map=19/-23.5577989/-46.6698598;https://www.google.com.br/maps/@-23.5577989,-46.6698598,18z
HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;-23,556985;-46,668067;São Paulo;                              296838,3795251025;73555,04905391931;https://www.openstreetmap.org/#map=19/-23.556985/-46.668067;https://www.google.com.br/maps/@-23.556985,-46.668067,18z
INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO;-23,5847819;-46,6507808;São Paulo;                              45271,73953839117;19356,690798981424;https://www.openstreetmap.org/#map=19/-23.5847819/-46.6507808;https://www.google.com.br/maps/@-23.5847819,-46.6507808,18z
HOSPITAL MUNICIPAL BRASILANDIA;-23,4761092;-46,6983834;São Paulo;                              19655,08469546851;15400,028355615603;https://www.openstreetmap.org/#map=19/-23.4761092/-46.6983834;https://www.google.com.br/maps/@-23.4761092,-46.6983834,18z
HOSPITAL DAS CLINICAS DA FACULDADE DE MEDICINA DE BOTUCATU;-22,8914655;-48,4963416;Botucatu;                              1214967,1267240813;76161,7728108272;https://www.openstreetmap.org/#map=19/-22.8914655/-48.4963416;https://www.google.com.br/maps/@-22.8914655,-48.4963416,18z
HOSPITAL DE BASE DE BAURU;-22,3303361;-49,0768236;Bauru;                              12465,145193781365;2069,653198264336;https://www.openstreetmap.org/#map=19/-22.3303361/-49.0768236;https://www.google.com.br/maps/@-22.3303361,-49.0768236,18z
HOSPITAL MUNICIPAL DE BERTIOGA;-23,8429362;-46,1396987;Bertioga;                              12565,64143076585;7252,502940516109;https://www.openstreetmap.org/#map=19/-23.8429362/-46.1396987;https://www.google.com.br/maps/@-23.8429362,-46.1396987,18z
HOSPITAL ESTADUAL AMERICO BRASILIENSE;-21,7410705;-48,1220018;Américo Brasiliense;                              122200,68453588853;14833,543746877498;https://www.openstreetmap.org/#map=19/-21.7410705/-48.1220018;https://www.google.com.br/maps/@-21.7410705,-48.1220018,18z
HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA SAO PAULO;-23,4814904;-46,6724863;São Paulo;                              26855,358556674015;7874,28957278374;https://www.openstreetmap.org/#map=19/-23.4814904/-46.6724863;https://www.google.com.br/maps/@-23.4814904,-46.6724863,18z
HOSPITAL UNIVERSITARIO DA USP SAO PAULO;-23,5649363;-46,7405751;São Paulo;                              36710,44220420155;6336,126275114637;https://www.openstreetmap.org/#map=19/-23.5649363/-46.7405751;https://www.google.com.br/maps/@-23.5649363,-46.7405751,18z
HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;-23,4925928;-46,3890304;São Paulo;                              17617,081968066726;5361,947624174925;https://www.openstreetmap.org/#map=19/-23.4925928/-46.3890304;https://www.google.com.br/maps/@-23.4925928,-46.3890304,18z
UNIDADE MISTA DE SAUDE DE TABOAO DA SERRA;-23,6286844;-46,7932558;Taboão da Serra;                              5367,619482202094;3074,4529740539892;https://www.openstreetmap.org/#map=19/-23.6286844/-46.7932558;https://www.google.com.br/maps/@-23.6286844,-46.7932558,18z
HOSPITAL ESTADUAL MARIO COVAS DE SANTO ANDRE;-23,6709183;-46,5331357;Santo André;                              39699,15914104142;9859,14283586892;https://www.openstreetmap.org/#map=19/-23.6709183/-46.5331357;https://www.google.com.br/maps/@-23.6709183,-46.5331357,18z
INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;-23,5558033;-46,6675382;São Paulo;                              296838,3795251025;61516,30287551818;https://www.openstreetmap.org/#map=19/-23.5558033/-46.6675382;https://www.google.com.br/maps/@-23.5558033,-46.6675382,18z
HOSPITAL GERAL DE ITAPECERICA DA SERRA;-23,7006555;-46,8479094;Itapecerica da Serra;                              26772,737610505097;9858,479282886761;https://www.openstreetmap.org/#map=19/-23.7006555/-46.8479094;https://www.google.com.br/maps/@-23.7006555,-46.8479094,18z
HOSPITAL DAS CLINICAS DA UNICAMP DE CAMPINAS;-22,8269585;-47,064116;Campinas;                              52365,80780854345;28784,415145734252;https://www.openstreetmap.org/#map=19/-22.8269585/-47.064116;https://www.google.com.br/maps/@-22.8269585,-47.064116,18z
HOSPITAL ESTADUAL JOAO PAULO II SAO JOSE DO RIO PRETO;-20,8068316;-49,3597824;São José do Rio Preto;                              1389,0772658789176;1389,0772658789176;https://www.openstreetmap.org/#map=19/-20.8068316/-49.3597824;https://www.google.com.br/maps/@-20.8068316,-49.3597824,18z
MATERNIDADE GOTA DE LEITE DE ARARAQUARA;-21,7938684;-48,1788363;Araraquara;                              809,3163889391316;809,3163889391316;https://www.openstreetmap.org/#map=19/-21.7938684/-48.1788363;https://www.google.com.br/maps/@-21.7938684,-48.1788363,18z
HOSPITAL MUNICIPAL ANTONIO GIGLIO;-23,5322852;-46,7773055;Osasco;                              6479,998341497285;2463,6156130202817;https://www.openstreetmap.org/#map=19/-23.5322852/-46.7773055;https://www.google.com.br/maps/@-23.5322852,-46.7773055,18z
HOSPITAL REGIONAL DO LITORAL NORTE;-23,6580032;-45,4402677;Caraguatatuba;                              24960,36499028716;6648,009012368659;https://www.openstreetmap.org/#map=19/-23.6580032/-45.4402677;https://www.google.com.br/maps/@-23.6580032,-45.4402677,18z
HOSPITAL DE REABILITACAO DE ANOMALIAS CRANIOFACIAIS BAURU;-22,333805;-49,059927;Bauru;                              137081,91747609698;33176,852332014496;https://www.openstreetmap.org/#map=19/-22.333805/-49.059927;https://www.google.com.br/maps/@-22.333805,-49.059927,18z
CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;-23,4846001;-46,6303924;São Paulo;                              85807,25178454784;16464,493345049428;https://www.openstreetmap.org/#map=19/-23.4846001/-46.6303924;https://www.google.com.br/maps/@-23.4846001,-46.6303924,18z
HOSPITAL MUNICIPAL DE DIADEMA HMD;-23,691791;-46,5870133;Diadema;                              1741,1747731705186;1741,1747731705186;https://www.openstreetmap.org/#map=19/-23.691791/-46.5870133;https://www.google.com.br/maps/@-23.691791,-46.5870133,18z
CONJUNTO HOSPITALAR SOROCABA;-23,5092915;-47,4582901;Sorocaba;                              2615,9609292765795;2615,9609292765795;https://www.openstreetmap.org/#map=19/-23.5092915/-47.4582901;https://www.google.com.br/maps/@-23.5092915,-47.4582901,18z
COMPLEXO HOSPITALAR DOS ESTIVADORES;-23,9514129;-46,322084;Santos;                              1724,111020245224;1724,111020245224;https://www.openstreetmap.org/#map=19/-23.9514129/-46.322084;https://www.google.com.br/maps/@-23.9514129,-46.322084,18z
